Episode 1: Total Reward = -67, Score = 0, Epsilon = 1.000
Episode 2: Total Reward = -64, Score = 0, Epsilon = 0.961
Episode 3: Total Reward = -57, Score = 0, Epsilon = 0.771
Episode 4: Total Reward = -64, Score = 0, Epsilon = 0.640
Episode 5: Total Reward = -64, Score = 0, Epsilon = 0.532
Episode 6: Total Reward = -63, Score = 0, Epsilon = 0.440
Episode 7: Total Reward = -61, Score = 0, Epsilon = 0.360
Episode 8: Total Reward = -64, Score = 0, Epsilon = 0.299
Episode 9: Total Reward = -62, Score = 0, Epsilon = 0.246
Episode 10: Total Reward = -56, Score = 0, Epsilon = 0.196
Episode 11: Total Reward = -61, Score = 0, Epsilon = 0.160
Episode 12: Total Reward = -51, Score = 0, Epsilon = 0.125
Episode 13: Total Reward = -39, Score = 0, Epsilon = 0.092
Episode 14: Total Reward = 10, Score = 13, Epsilon = 0.052
Episode 15: Total Reward = -53, Score = 0, Epsilon = 0.041
Episode 16: Total Reward = -38, Score = 0, Epsilon = 0.030
Episode 17: Total Reward = -48, Score = 0, Epsilon = 0.023
Episode 18: Total Reward = -62, Score = 0, Epsilon = 0.019
Episode 19: Total Reward = -52, Score = 0, Epsilon = 0.015
Episode 20: Total Reward = -38, Score = 0, Epsilon = 0.011
Episode 21: Total Reward = -52, Score = 0, Epsilon = 0.010
Episode 22: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 23: Total Reward = -43, Score = 0, Epsilon = 0.010
Episode 24: Total Reward = -78, Score = 0, Epsilon = 0.010
Episode 25: Total Reward = -37, Score = 0, Epsilon = 0.010
Episode 26: Total Reward = -78, Score = 0, Epsilon = 0.010
Episode 27: Total Reward = -48, Score = 0, Epsilon = 0.010
Episode 28: Total Reward = -78, Score = 0, Epsilon = 0.010
Episode 29: Total Reward = -78, Score = 0, Epsilon = 0.010
Episode 30: Total Reward = -58, Score = 0, Epsilon = 0.010
Episode 31: Total Reward = -34, Score = 0, Epsilon = 0.010
Episode 32: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 33: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 34: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 35: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 36: Total Reward = -78, Score = 0, Epsilon = 0.010
Episode 37: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 38: Total Reward = -33, Score = 0, Epsilon = 0.010
Episode 39: Total Reward = -37, Score = 0, Epsilon = 0.010
Episode 40: Total Reward = -57, Score = 0, Epsilon = 0.010
Episode 41: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 42: Total Reward = -78, Score = 0, Epsilon = 0.010
Episode 43: Total Reward = -42, Score = 0, Epsilon = 0.010
Episode 44: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 45: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 46: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 47: Total Reward = -67, Score = 0, Epsilon = 0.010
Episode 48: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 49: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 50: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 51: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 52: Total Reward = -56, Score = 0, Epsilon = 0.010
Episode 53: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 54: Total Reward = -35, Score = 0, Epsilon = 0.010
Episode 55: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 56: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 57: Total Reward = -56, Score = 0, Epsilon = 0.010
Episode 58: Total Reward = -34, Score = 0, Epsilon = 0.010
Episode 59: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 60: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 61: Total Reward = -35, Score = 0, Epsilon = 0.010
Episode 62: Total Reward = -63, Score = 0, Epsilon = 0.010
Episode 63: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 64: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 65: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 66: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 67: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 68: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 69: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 70: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 71: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 72: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 73: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 74: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 75: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 76: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 77: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 78: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 79: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 80: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 81: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 82: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 83: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 84: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 85: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 86: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 87: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 88: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 89: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 90: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 91: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 92: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 93: Total Reward = -28, Score = 0, Epsilon = 0.010
Episode 94: Total Reward = -31, Score = 0, Epsilon = 0.010
Episode 95: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 96: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 97: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 98: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 99: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 100: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 101: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 102: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 103: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 104: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 105: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 106: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 107: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 108: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 109: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 110: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 111: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 112: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 113: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 114: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 115: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 116: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 117: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 118: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 119: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 120: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 121: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 122: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 123: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 124: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 125: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 126: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 127: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 128: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 129: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 130: Total Reward = -29, Score = 0, Epsilon = 0.010
Episode 131: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 132: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 133: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 134: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 135: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 136: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 137: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 138: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 139: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 140: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 141: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 142: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 143: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 144: Total Reward = 47, Score = 13, Epsilon = 0.010
Episode 145: Total Reward = 62, Score = 13, Epsilon = 0.010
Episode 146: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 147: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 148: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 149: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 150: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 151: Total Reward = -34, Score = 0, Epsilon = 0.010
Episode 152: Total Reward = 140, Score = 26, Epsilon = 0.010
Episode 153: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 154: Total Reward = -27, Score = 0, Epsilon = 0.010
Episode 155: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 156: Total Reward = 51, Score = 13, Epsilon = 0.010
Episode 157: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 158: Total Reward = -38, Score = 0, Epsilon = 0.010
Episode 159: Total Reward = -38, Score = 0, Epsilon = 0.010
